ParkID,Name,City,Address,Rating,PhotoID,GooglePlacesID
0,Zilker Metropolitan Park,Austin,"2100 Barton Springs Rd, Austin, TX 78704, USA",4.7,0,ChIJT-TyHTq1RIYRrV8umxkqGGI
1,Pease District Park,Austin,"1100 Kingsbury St, Austin, TX 78705, USA",4.6,0,ChIJva0k12-1RIYRWWvusUoiw_4
2,Emma Long Metropolitan Park,Austin,"1600 City Park Rd, Austin, TX 78730, USA",4.4,0,ChIJhe5fV1M0W4YRqGxuZUsZI80
3,Mayfield Park and Nature Preserve,Austin,"3505 W 35th St, Austin, TX 78703, USA",4.6,0,ChIJI349t7vKRIYRAB0f414STOk
4,McKinney Falls State Park,Austin,"5808 McKinney Falls Pkwy, Austin, TX 78744, USA",4.4,0,ChIJi7M4Nb6zRIYRk8YBYI8Jg_s
5,Walnut Creek Metropolitan Park,Austin,"12138 N Lamar Blvd, Austin, TX 78753, USA",4.6,0,ChIJ5RRjerHORIYR0qHkw2I4CdA
6,Mueller Lake Park,Austin,"4550 Mueller Blvd, Austin, TX 78723, USA",4.7,0,ChIJKYtScPm1RIYR3XNM9fOKrMY
7,Bull Creek District Park,Austin,"6701 Lakewood Dr, Austin, TX 78731, USA",4.6,0,ChIJIUFEFrU0W4YRv9xvw4rIO6o
8,Auditorium Shores at Town Lake Metropolitan Park,Austin,"900 W Riverside Dr, Austin, TX 78704, USA",4.7,0,ChIJSfh_QgW1RIYRMGJ2BEpGG1c
9,Red Bud Isle,Austin,"3401 Redbud Trail, Austin, TX 78746, USA",4.6,0,ChIJw5DRkKxKW4YR39xiQOzTrcQ
10,Barton Creek Greenbelt,Austin,"3755 S Capital of Texas Hwy, Austin, TX 78704, USA",4.7,0,ChIJabb0sdZKW4YR7Rlal52tALI
11,Mansfield Dam Park,Austin,"4370 Mansfield Dam Park Rd., Austin, TX 78732, USA",4.5,0,ChIJFeXp-iQxW4YRRAeSYlLITFc
12,Mary Moore Searight Metropolitan Park,Austin,"907 West Slaughter Lane, Austin, TX 78748, USA",4.6,0,ChIJBeV_R9xMW4YRq9GzR-xx_q8
13,Roy G. Guerrero Colorado River Metro Park,Austin,"400 Grove Blvd, Austin, TX 78741, USA",4.5,0,ChIJu2YX6yi0RIYRrBTvYTY-yCM
14,West Austin Neighborhood Park,Austin,"1317 W 10th St, Austin, TX 78703, USA",4.5,0,ChIJhcgsmmy1RIYRv1YxwgGLM7g
15,Dick Nichols District Park,Austin,"8011 Beckett Rd, Austin, TX 78749, USA",4.5,0,ChIJ8wDHlu9LW4YR1Ekf_5ldE7E
16,Shipe Neighborhood Park,Austin,"4400 Avenue G, Austin, TX 78751, USA",4.2,0,ChIJ66uMEHHKRIYRrY7uT7UPs-Q
17,Brentwood Neighborhood Park,Austin,"6710 Arroyo Seco, Austin, TX 78757, USA",4.4,0,ChIJ6Qmdi03KRIYRgGsUyGtL1Q4
18,Ramsey Neighborhood Park,Austin,"4301 Rosedale Ave, Austin, TX 78756, USA",4.5,0,ChIJcdzIsonKRIYR8Kbj7TtGg0c
19,Big Stacy Neighborhood Park,Austin,"700 E Live Oak St, Austin, TX 78704, USA",4.4,0,ChIJBZ4MS_e0RIYRr9Iq622RvAo
