Name,PriceRange,Menu,Description,Cuisine,Review,Park,City,Photos
The Mighty Cone,$,https://www.zomato.com/the-mighty-cone-food-truck/menu,"Permanent stop of a celebrated food truck doling out spicy, fried meats & veggies in tortilla cones",American & tacos,THIS PLACE IS DELICIOUS!!! Recommend the chicken cone and the cheese sticks. Mmm!,Zilker Park,Austin,#themightycone
Luke's Inside Out,$$,https://www.lukesinsideout.com/menu/,unassuming food truck is known for its upscale toasted-sandwich creations & brunch buffet.,American & sandwiches,"We we're looking for something quick and with great taste. We found this spot browsing and man! Everything tasted fresh, well balanced, and proportioned well. Try it out you won't be disappointed!",Zilker Park,Austin,#lukesinsideout
Mama Mal's Italian Cuisine,$,https://www.mamamals.com/menu.html,"All about delicious, homemade, Italian food from a woman who might remind you of your mama",Italian,"The best Italian food in Austin by far! Mama Mal's serves large, delicious portions that taste like love. The meatballs are out of this world along with the fresh sauce. While the meatball sub is my all time favorite, the daily specials always blow my mind. Could not rave about Mama Mal's enough. A must in Austin!",Zilker Park,Austin,#mamamals
Churro Co,$,https://www.churrocoaustin.com/menu/dessert/,"Raise your hand if you like churros. ;)Howdy! We make churros from scratch and sell them out of a dandy little trailer in Austin, Texas.",Dessert,"You have to try these Churros!!! We drove in from San Antonio after seeing the menu for the specialties they have...it was well worth the drive (and traffic lol)!!! The staff was very friendly and The Campfire and Texas Comfort was amazing!!! If your in or around Austin, and looking for something sweet...you have to come here!! Also the prices are great for the quality of food!!!",Auditorium Shores at Town Lake,Austin,#churrocoaustin
El Primo,$,https://elprimo.fixmedinner.com/OrderForms/ezyActivatedMenus.aspx?returning=true,none,Mexican,Don't let the size of this food trailer fool you it is seriously the best taco place in Austin. Great things can and do come in small packages.,Gillis Neighborhood Park,Austin,#elprimotacos
808 Grinds,$,http://808grinds.com/#foodmenu,Authentic Hawaiian cuisine found at our Downtown Food Cart and Cafe locations. All plates come with a side of rice and mac salad.,Hawaiian,The 808 chicken and kalua pig are amazing. The spicy mayo and the sweet wasabi sauces are delicious and I forgot how much I love macaroni salad until I had it here. If you are feeling ambitious get the chocolate haupia pie. You won't regret it!,Director Park,Portland,#808grinds
The Dump Truck,$,http://www.dumptruckpdx.com/menu.html,"The Dump Truckâ€™s dumplings have been attracting attention and Reid and Juliaâ€™s creations have been featured on Travel Channelâ€™s â€œFood Paradiseâ€ù, Cooking Channel's â€œUnique Eatsâ€ù & Food Networkâ€™s â€œEat Streetâ€ù and in the SF Weekly, Sunset Magazine, Toronto Star, Edmonton Journal, Willamette Week, Hong Kongâ€™sé¥®é£Ÿç”·å¥_, and the Portland Chinese Times.",Asian Fusion,"Delicious dumplings! Go for the Mr. Ma's for a definite great meal or try a sampler and try all the dumplings... But don't skip the Bacon Cheeseburger, it's really good!",O'Bryant Square,Portland,#dumptruckdumplings
The Frying Scotsman,$,http://the-frying-scotsman-portland.sites.tablehero.com,"Authentic British fish and chips, served from a food truck.",Fish and Chips & Cuisine,"Best fish and chips in Portland... and Iâ€™m a Brit. Pity itâ€™s not open in the evening, but worth making the trip at lunchtime.",O'Bryant Square,Portland,#fryingscotsman
The Grilled Cheese Grill,$,http://places.singleplatform.com/the-grilled-cheese-grill/menu?ref=google,"a combination of reclaimed vehicle and food cart restaurants that focus on gourmet grilled cheese sandwiches in Portland, Oregon",Sandwiches,Awesome place to eat in Downtown Portland! I got a cheesus (think colossus but with cheese) which is a hamburger with grilled cheese sandwiches replacing the buns. It's a lot but it's super delicious. Highly recommend for the times you do go to Portland's downtown.,Alberta Park,Portland,#thegrilledcheesegrill
Potato Champion,$,http://www.potatochampion.com/menu-1/,"In 2008, Potato Champion opened itâ€™s window at the corner SE 12th and Hawthorne, establishing itself as one of Portlandâ€™s premier spots for late night food. Originally serving a limited menu of hand cut, twice fried Belgium style fries, a variety of house made dipping sauces, and our own version of the Canadian classic, Poutine, we have let our menu expand into an assortment of inventive fry related dishes. We pride ourselves in using only the highest quality ingredients and strive to keep an inventive menu that combines tastes from all around the globe with the one of the most popular foods in the world, the french fry.",Belgian & Poutineries,A food cart dedicated to the humble spud. I would do anything to dive into another serve of the PB&J fries. Fries topped with satay sauce and smoky chipotle raspberry goodness. Bam!,Colonel Summers Park,Portland,#potatochampion
